Plan ID,Production Date,Physical Area,Material / SKU Code,Material Description,Machine,Shift,Original Output (CS),Current Output (CS),Source,Status
PLN_SYNC_92,5/19/2026,SE,32580,CAP - SF_24RPP_S_Duong,Promotion 5 Cap,2,6000,6000,SYNC,ACTIVE
PLN_SYNC_93,5/19/2026,SE,32581,CAP - SF_24RPP_S_Lá,Promotion 5 Cap,2,5000,5000,SYNC,ACTIVE
PLN_SYNC_94,5/19/2026,SE,32582,CAP - SF_24RPP_S_Tím,Promotion 5 Cap,2,10000,10000,SYNC,ACTIVE
PLN_SYNC_95,5/19/2026,SE,32641,ZZ RL 25 FH_S BL +CAP20,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
PLN_SYNC_96,5/19/2026,SE,32652,ZZ RL 25 FH_S GN +CAP20,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
PLN_SYNC_97,5/19/2026,SE,32651,ZZ RL 25 FH_S RD +CAP20,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
PLN_SYNC_98,5/19/2026,SE,32790,ZZRL_25_S_Violet TB+CAP20,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
PLN_SYNC_99,5/19/2026,SE,32383,PC_22_M TIM +CAP,Promotion 5 Cap,2,8000,8000,SYNC,ACTIVE
PLN_SYNC_100,5/19/2026,SE,32382,PC_22_M HONG +CAP,Promotion 5 Cap,2,8000,8000,SYNC,ACTIVE
PLN_SYNC_101,5/19/2026,SE,32381,PC_22_M LA +CAP,Promotion 5 Cap,2,8000,8000,SYNC,ACTIVE
PLN_SYNC_102,5/19/2026,SE,32380,PC_22_M DUONG +CAP,Promotion 5 Cap,2,8000,8000,SYNC,ACTIVE
PLN_SYNC_103,5/19/2026,SE,32138,CC_21_M TIM +CAP,Promotion 5 Cap,2,8000,8000,SYNC,ACTIVE
PLN_SYNC_104,5/19/2026,SE,32137,CC_21_M DO +CAP,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
