Material,Material Description,Component,Component Description,Quantity,UOM,Alternative BOM,BOM Status,Status,Bundle IM & TE,IM,SKE HDL,Bundle TE
155333,PLUS TB ADL CS MU 2PK FHS,C0000010287,Extra Clean PU/WT 22 FHS RPP TB,18000,PC,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,C0000010288,Extra Clean PK/WT 22 FHS RPP TB,18000,PC,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,C0000010289,Extra Clean GN/WT 22 FHS RPP TB,18000,PC,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,C0000010290,Extra Clean BL/WT 22 FHS RPP TB,18000,PC,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,P11212765,BC EC 22RPP S 2PK 52MM US,36000,PC,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,P11251041,STICKER EC 22RPP 32X76 ROLL US,36000,PC,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,P11270228,Pouch bag EC 22RPP S 2PK 52mm 6Packs US,6000,PC,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,P11242404,SHIPPER EC 22RPP S 1PK 6Bags 72 US,1000,PC,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,P11220302,25% PCR PET ROLL 0.3x292mm S5 25kg,197.13,KG,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,P11270120,Slip Sheet 40x48 0.8MM,10.42,PC,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,3.04,KG,1,1,C3,,,,
155333,PLUS TB ADL CS MU 2PK FHS,P11270073,OPP TAPE WITH LOGO-910m,0.99,ROL,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,C0000010291,Extra Clean PU/WT 22 FHM RPP TB,18000,PC,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,C0000010292,Extra Clean PK/WT 22 FHM RPP TB,18000,PC,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,C0000010293,Extra Clean GN/WT 22 FHM RPP TB,18000,PC,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,C0000010294,Extra Clean BL/WT 22 FHM RPP TB,18000,PC,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,P11212766,BC EC 22RPP M 2PK 52MM US,36000,PC,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,P11251041,STICKER EC 22RPP 32X76 ROLL US,36000,PC,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,P11270229,Pouch bag EC 22RPP M 2PK 52mm 6Packs US,6000,PC,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,P11242405,SHIPPER EC 22RPP M 1PK 6Bags 72 US,1000,PC,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,P11220302,25% PCR PET ROLL 0.3x292mm S5 25kg,197.13,KG,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,P11270120,Slip Sheet 40x48 0.8MM,10.42,PC,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,3.04,KG,1,1,C3,,,,
155809,PLUS TB- ADL 2PK FHM,P11270073,OPP TAPE WITH LOGO-910m,0.99,ROL,1,1,C3,,,,
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,C0000002485,Value Age 2+ 12 YHX Red TB,72000,PC,1,1,C3,,,,
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11242408,SHIPPER K2 YHX 2 Inners 72 US,1000,PC,1,1,C3,,,,
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11270220,Cellopack K2 YHX 205x100 mm US,72000,PC,1,1,C3,,,,
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11260201,INNER K2 YHX 36 Bags US,2000,PC,1,1,C3,,,,
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11270056,OPP TAPE 4.8cm WITH LOGO,8.29,ROL,1,1,C3,,,,
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11270120,Slip Sheet 40x48 0.8MM,8.334,PC,1,1,C3,,,,
155814,KIDS TB JNR CS BK BRIGHT SMILES WIP,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,2.17,KG,1,1,C3,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,C0000010864,360 RMG 23 GN/WT/BL/WT Non AB FHS AFT TB,18000,PC,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,C0000010865,360 RMG 23 PU/WT/BL/WT Non AB FHS AFT TB,18000,PC,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,C0000010866,360 RMG 23 LBL/WT/BL/WT Non ABFHS AFT TB,18000,PC,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,C0000010867,360 RMG 23 DBL/WT/BL/WT Non ABFHS AFT TB,18000,PC,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11212590,BC 360RE_23 FHS 4PK 85MM NA,18000,PC,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11242265,SHIPPER 360RE_23 FHS 4PK INNER 72 NA,1000,PC,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11250975,STICKER 360RE_23 65X76 ROLL NA,18000,PC,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11260191,INNER 360RE_23 FHS 4PK 85MM NA,3000,PC,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11220292,PET ROLL 0.4 x 276mm S3,210.15,KG,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11270073,OPP TAPE WITH LOGO-910m,0.79,ROL,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11270120,Slip Sheet 40x48 0.8MM,10,PC,1,1,C8,,,,
168742,COLGATE 360 TB ADULT CS MU FHS 4PK,P11270195,STRETCH WRAP FILM 12 MIC ROLL 500MM 14KG,2.8,KG,1,1,C8,,,,
168743,COLGATE 360 TB ADULT CS MU FHM 4PK,C0000010868,360 RMG 23 GN/WT/BL/WT Non AB FHM AFT TB,18000,PC,1,1,C8,,,,
168743,COLGATE 360 TB ADULT CS MU FHM 4PK,C0000010869,360 RMG 23 PU/WT/BL/WT Non AB FHM AFT TB,18000,PC,1,1,C8,,,,
